Prix,Année,Boite,Carburant,secteur,kilometrage,marque,model,nbr de portes,origine,premiére main,puissance fiscale,état,km_min,km_max,km_moyen,km_binned
270000.0,2021,Automatique,Diesel,"Maamora, Kénitra",50 000 - 54 999,FORD,Kuga,5.0,Importée neuve,Oui,7.0,Excellent,50000,54999,52499.5,50k-100k
384952.0,2020,Automatique,Diesel,"Aïn Chock, Casablanca",110 000 - 119 999,AUDI,Q5,5.0,WW au Maroc,Non,8.0,Bon,110000,119999,114999.5,100k-150k
278000.0,2020,Automatique,Diesel,"Toute la ville, Youssoufia",140 000 - 149 999,AUDI,A4,5.0,WW au Maroc,Oui,8.0,Excellent,140000,149999,144999.5,100k-150k
220000.0,2013,Automatique,Diesel,"Hassan, Rabat",180 000 - 189 999,MERCEDES-BENZ,Classe Cla,5.0,Importée neuve,Non,9.0,Excellent,180000,189999,184999.5,150k-200k
390000.0,2022,Manuelle,Diesel,"Route d'Amezmiz, Marrakech",25 000 - 29 999,PEUGEOT,Landtrek,5.0,WW au Maroc,Non,8.0,Excellent,25000,29999,27499.5,0-50k
325000.0,2021,Automatique,Diesel,"Sidi Maarouf, Casablanca",100 000 - 109 999,BMW,Série 3,5.0,WW au Maroc,Oui,9.0,Excellent,100000,109999,104999.5,100k-150k
280000.0,2021,Automatique,Diesel,"Ain Sebaa, Casablanca",45 000 - 49 999,JEEP,Grand Cherokee,5.0,WW au Maroc,Oui,17.0,Excellent,45000,49999,47499.5,0-50k
217000.0,2020,Automatique,Diesel,"Hay el Fath, Rabat",120 000 - 129 999,FORD,Kuga,5.0,WW au Maroc,Oui,8.0,Excellent,120000,129999,124999.5,100k-150k
300000.0,2021,Automatique,Diesel,"Ain Sebaa, Casablanca",65 000 - 69 999,HYUNDAI,Santa Fe,5.0,WW au Maroc,Oui,9.0,Excellent,65000,69999,67499.5,50k-100k
235000.0,2016,Automatique,Diesel,"Toute la ville, Taza",200 000 - 249 999,VOLKSWAGEN,Touran,5.0,Dédouanée,Non,6.0,Très bon,200000,249999,224999.5,200k-300k
220000.0,2015,Automatique,Diesel,"Ain Amiyer, Fès",170 000 - 179 999,AUDI,A3,5.0,WW au Maroc,Non,6.0,Excellent,170000,179999,174999.5,150k-200k
412000.0,2023,Automatique,Diesel,"Ancienne Médina, Fès",25 000 - 29 999,HYUNDAI,Tucson,5.0,WW au Maroc,Oui,7.0,Excellent,25000,29999,27499.5,0-50k
250000.0,2016,Automatique,Diesel,"Agdal, Rabat",170 000 - 179 999,VOLKSWAGEN,Golf 7,5.0,Dédouanée,Non,8.0,Excellent,170000,179999,174999.5,150k-200k
230000.0,2021,Automatique,Diesel,"Centre ville, Tanger",70 000 - 74 999,HYUNDAI,I30,5.0,WW au Maroc,Non,6.0,Excellent,70000,74999,72499.5,50k-100k
310000.0,2017,Automatique,Diesel,"Agdal, Rabat",100 000 - 109 999,BMW,Série 6,5.0,WW au Maroc,Non,8.0,Très bon,100000,109999,104999.5,100k-150k
205000.0,2016,Automatique,Diesel,"Centre Ville, Oujda",200 000 - 249 999,VOLKSWAGEN,Touran,5.0,Dédouanée,Oui,6.0,Excellent,200000,249999,224999.5,200k-300k
215000.0,2022,Manuelle,Diesel,"Centre Ville, Oujda",35 000 - 39 999,SEAT,Ibiza,5.0,WW au Maroc,Oui,6.0,Excellent,35000,39999,37499.5,0-50k
340000.0,2018,Automatique,Diesel,"Majorelle, Marrakech",45 000 - 49 999,BMW,X3,5.0,WW au Maroc,Oui,8.0,Excellent,45000,49999,47499.5,0-50k
365000.0,2020,Automatique,Diesel,"Autre secteur, Casablanca",35 000 - 39 999,AUDI,A3,5.0,Pas encore dédouanée,Non,8.0,Excellent,35000,39999,37499.5,0-50k
380000.0,2014,Automatique,Diesel,"Anfa, Casablanca",120 000 - 129 999,PORSCHE,Panamera,5.0,Importée neuve,Non,12.0,Excellent,120000,129999,124999.5,100k-150k
360000.0,2024,Automatique,Diesel,"Founty, Agadir",65 000 - 69 999,VOLKSWAGEN,T-Roc,5.0,WW au Maroc,Oui,8.0,Excellent,65000,69999,67499.5,50k-100k
215000.0,2020,Automatique,Diesel,"Guéliz, Marrakech",50 000 - 54 999,VOLVO,V40,5.0,WW au Maroc,Oui,8.0,Excellent,50000,54999,52499.5,50k-100k
420000.0,2014,Automatique,Diesel,"Souissi, Rabat",150 000 - 159 999,LAND ROVER,Range Rover Sport,5.0,Importée neuve,Oui,12.0,Très bon,150000,159999,154999.5,150k-200k
300000.0,2019,Automatique,Diesel,"Victor Hugo, Marrakech",160 000 - 169 999,LAND ROVER,Range Rover,5.0,WW au Maroc,Non,8.0,Très bon,160000,169999,164999.5,150k-200k
210000.0,2017,Automatique,Diesel,"Maarif, Casablanca",250 000 - 299 999,LAND ROVER,Range Rover Evoque,5.0,WW au Maroc,Oui,8.0,Très bon,250000,299999,274999.5,200k-300k
236000.0,2018,Manuelle,Diesel,"Toute la ville, Errachidia",110 000 - 119 999,VOLKSWAGEN,Tiguan,5.0,WW au Maroc,Non,8.0,Excellent,110000,119999,114999.5,100k-150k
305000.0,2020,Automatique,Diesel,"Av des Far, Agadir",90 000 - 94 999,MERCEDES-BENZ,Classe E,5.0,WW au Maroc,Oui,8.0,Excellent,90000,94999,92499.5,50k-100k
